eventfile for the exclsuive pi0 BSA analysis cross check
contact: Stefan Diehl (sdiehl@jlab.org)
---------------------------------------------------------------------------------------------------------------------
eventnumber	x	Q2	W	-t	phi[deg]	Mgg
8111074	0.413403	3.01215	2.27033	0.592036	257.328	0.12109
8139216	0.244746	2.28051	2.81384	0.66803	217.938	0.130198
8190677	0.483415	4.11213	2.29666	0.633848	141.736	0.124586
8232726	0.381095	3.50013	2.56215	0.283877	320.134	0.145399
8372059	0.394301	2.34682	2.11787	0.482388	131.832	0.134621
8451408	0.430134	2.81441	2.14686	0.539713	88.0462	0.131743
8512850	0.37063	3.3745	2.57111	0.538317	209.504	0.143246
8514487	0.255375	2.44181	2.82846	1.75355	163.78	0.143778
8648886	0.401017	4.30236	2.70307	0.459168	201.306	0.120234
8724225	0.378643	3.68534	2.63211	0.519142	167.919	0.128945
9027336	0.573484	5.66691	2.2572	0.696751	70.6193	0.129281
9091561	0.500068	3.89034	2.18395	1.462	266.437	0.148969
9160340	0.213768	2.18572	2.98653	1.84832	128.221	0.13743
9239027	0.342213	3.04864	2.59621	0.863343	108.666	0.114977
9388090	0.225321	2.00138	2.78591	0.440259	159.891	0.127516
9393921	0.31296	2.61856	2.57465	0.566844	236.003	0.121593
9446875	0.404906	4.05465	2.61524	0.814001	148.208	0.137661
9613625	0.397577	2.17602	2.0439	0.627014	277.807	0.13151
9730005	0.251942	2.91509	3.088	0.320209	192.358	0.14634
9739061	0.404626	2.86137	2.25624	0.616929	222.334	0.132423
9805546	0.307429	2.55103	2.57435	0.750305	159.155	0.142123
10107566	0.371905	3.00566	2.44059	0.902715	183.952	0.141681
10111523	0.377642	2.66427	2.29588	0.285827	320.097	0.12612
10163358	0.601586	5.78078	2.16997	1.81197	81.1419	0.116562
10175849	0.509111	3.26635	2.00743	0.500185	71.8063	0.128346
10180604	0.324827	2.18767	2.32971	0.999506	134.131	0.111463
10229427	0.607749	6.44758	2.24537	1.03959	118.556	0.119684
10232910	0.527863	4.53154	2.22114	0.535735	279.729	0.116533
10271084	0.502561	3.64547	2.11864	0.776528	220.468	0.133421
10320316	0.376051	2.26401	2.15333	0.754318	124.694	0.130572
10330415	0.390378	3.05818	2.37824	0.243783	248.149	0.148958
10335150	0.324836	2.72526	2.55826	0.934066	207.442	0.140817
10410131	0.608394	5.88545	2.1607	2.97884	279.929	0.117985
10471459	0.427969	2.42372	2.02976	0.532385	287.717	0.135542
10516873	0.435872	3.42591	2.30528	1.51971	150.006	0.129568
10629794	0.30553	2.03577	2.34684	0.365656	131.318	0.122087
10655947	0.380433	2.29607	2.14935	0.491806	126.233	0.128847
10711570	0.247179	2.83624	3.08521	0.442875	136.995	0.12585
10742473	0.501351	3.34443	2.05104	0.97637	108.586	0.141348
10759459	0.348062	3.64614	2.77664	0.559174	146.269	0.12714
10874670	0.615784	5.56233	2.08589	0.763853	78.5459	0.112905
10972499	0.294205	2.36165	2.5585	0.316046	176.798	0.153998
11016175	0.464374	3.64297	2.25439	0.370425	62.4269	0.152463
11168569	0.452598	6.41563	2.93936	1.71865	123.365	0.12956
11178870	0.382467	3.53495	2.56669	1.48708	167.047	0.127834
11185215	0.53781	4.55471	2.18966	0.727208	208.127	0.132008
11190039	0.570504	6.45077	2.39514	0.65793	238.831	0.117314
11199659	0.32439	3.25001	2.76571	0.606045	184.466	0.158973
11318368	0.505765	3.35663	2.03972	0.709711	139.069	0.143911
11424186	0.475162	5.7494	2.68901	1.4047	79.8375	0.126015
11592247	0.486003	3.87035	2.23016	0.404084	251.013	0.12112
11643621	0.439834	3.65995	2.35406	0.381865	274.107	0.137853
11684429	0.378525	2.54994	2.25098	0.41282	129.91	0.12788
11698834	0.371141	3.44335	2.59128	0.262948	94.8891	0.125624
11719395	0.393423	2.12751	2.03973	0.514824	182.492	0.116302
11731488	0.508313	7.11849	2.78675	0.489062	323.338	0.131791
11747110	0.535811	3.9634	2.07701	0.595432	5.2571	0.130142
11790917	0.377764	2.41649	2.20469	1.44768	248.869	0.132163
11820883	0.431331	4.09447	2.50569	0.330247	265.829	0.129549
11910232	0.367695	2.59836	2.3127	0.805868	224.482	0.150956
11959878	0.263433	2.15014	2.6253	1.24162	147.857	0.133861
12103067	0.486796	3.62729	2.16896	2.36502	287.859	0.127788
12336948	0.409754	4.72145	2.77156	3.92887	230.162	0.150946
12540369	0.421406	2.98314	2.23074	2.19242	97.3865	0.11773
12590679	0.353865	2.21111	2.21758	0.730283	180.408	0.134179
12848656	0.298724	2.67701	2.67671	1.92459	143.007	0.125778
12961864	0.192934	2.45088	3.33656	2.6777	250.176	0.138304
13016324	0.370283	4.22139	2.8389	0.494332	118.238	0.12512
13122901	0.582931	4.43206	2.01279	0.871191	250.045	0.140486
13178409	0.441858	4.19077	2.48475	0.548501	96.0673	0.128182
13248878	0.290718	2.32857	2.56154	0.24318	96.2257	0.138261
13313404	0.391476	2.65166	2.23656	0.312894	134.981	0.153338
13329818	0.201144	2.2164	3.11174	0.811635	206.828	0.150422
13430470	0.529604	6.87627	2.64345	0.769507	330.984	0.134699
13525223	0.335673	2.58272	2.44781	0.844881	208.828	0.125786
13592753	0.676321	6.52604	2.0009	2.00546	319.455	0.139693
13688076	0.447808	4.28876	2.48371	3.69317	98.8345	0.130056
13694795	0.319385	2.6114	2.53875	2.99678	284.387	0.126729
13705210	0.290333	2.16328	2.48356	1.4836	265.937	0.1359
13721221	0.475545	5.8519	2.70815	3.18247	91.1759	0.13515
13738616	0.354954	2.99951	2.5162	1.71454	159.671	0.154144
13864866	0.34498	2.17004	2.23621	0.456282	161.665	0.132995
14148159	0.437633	4.95197	2.69141	1.00026	194.51	0.135486
14179725	0.585467	4.8171	2.07148	0.716571	138.87	0.131098
14388831	0.346378	2.89468	2.51846	0.954796	157.378	0.133032
14404469	0.507823	4.57629	2.30556	1.57797	268.211	0.133698
14439529	0.532517	3.85302	2.06466	0.560939	238.002	0.139907
14835573	0.58472	5.42924	2.1763	1.51589	115.619	0.124134
14874922	0.388	4.02986	2.69011	0.700537	201.836	0.149922
14904167	0.291832	2.88929	2.80919	0.688627	152.223	0.131964
14954687	0.40971	2.4425	2.09747	0.461751	290.279	0.12132
15014289	0.32692	2.70773	2.5407	1.74997	80.916	0.148544
15109972	0.304785	2.07939	2.37138	0.863192	255.042	0.139138
15117912	0.562329	6.6782	2.46538	2.29609	279.357	0.145778
15282922	0.381425	2.75554	2.31282	0.651641	154.063	0.129244
15333371	0.3549	4.50222	3.01065	1.04113	215.508	0.152431
15432569	0.489293	3.62381	2.15934	0.865049	129.15	0.121588
15656955	0.532332	5.38219	2.36828	0.725103	261.456	0.128574
15946320	0.267278	2.90616	2.97445	0.810168	208.836	0.126743
15959649	0.39557	5.07101	2.93748	1.51604	233.22	0.11861
16048207	0.531084	3.80982	2.06014	0.569727	299.864	0.112951
16203474	0.480013	2.9956	2.03111	1.63895	261.332	0.147605
16206329	0.365876	3.37016	2.59256	0.797067	143.911	0.139024
16230545	0.603247	6.34829	2.24846	2.25891	148.217	0.124407
16573269	0.307274	3.08734	2.80009	0.421283	143.617	0.129567
16629006	0.409428	2.21917	2.02023	0.666517	106.827	0.108421
16636804	0.414196	2.97264	2.2549	0.444112	98.1278	0.155774
16649516	0.31622	2.716	2.59871	0.582921	144.812	0.127456
16743183	0.482884	3.45355	2.13979	0.583104	121.618	0.122087
16900188	0.307741	2.63087	2.60738	0.312686	223.059	0.122112
17065741	0.452477	3.03405	2.13347	0.467125	102.955	0.134173
17082849	0.515244	3.4269	2.02595	1.29428	73.5133	0.144278
17093971	0.496759	4.07322	2.23757	1.41318	223.188	0.143193
17282828	0.424831	4.89252	2.73938	0.795274	95.2308	0.161531
17329471	0.32516	3.67175	2.91559	1.52581	222.621	0.131952
17362772	0.612156	7.18179	2.33034	0.751674	282.642	0.139273
17398710	0.563708	5.95893	2.34358	0.773981	289.144	0.127804
17487278	0.337608	3.90115	2.92138	3.08984	164.777	0.12853
17519883	0.256176	2.0058	2.58927	0.49255	163.525	0.127405
17575547	0.228312	2.79914	3.2158	0.756771	148.583	0.140143
17684404	0.435663	2.67454	2.08442	0.670539	130.256	0.127255
17712162	0.411763	4.49302	2.70166	0.859091	185.914	0.129177
17730404	0.307873	2.13329	2.38247	1.20443	222.189	0.144927
17853731	0.446266	3.12718	2.18188	0.728665	257.42	0.111723
17927902	0.30671	2.91226	2.73189	0.516728	172.058	0.120659
17977406	0.363473	2.61413	2.3363	0.923143	176.078	0.12848
18084743	0.250066	2.34929	2.81527	1.51031	227.131	0.116017
18132123	0.360004	2.11019	2.15214	0.925441	96.6635	0.124388
18140408	0.496266	5.33561	2.50923	0.786696	17.2719	0.141343
18162288	0.441879	3.29618	2.2458	1.93901	285.679	0.122295
18180585	0.378565	4.43113	2.85557	0.357766	126.833	0.13694
18218427	0.422332	2.68039	2.13227	0.381921	75.7851	0.147658
18374015	0.599547	7.24479	2.39151	1.36686	236.321	0.119947
18431193	0.51984	7.20889	2.74571	0.678579	196.032	0.130744
18574105	0.5568	4.00642	2.01726	1.21095	138.742	0.151541
18936638	0.471614	4.06581	2.33143	0.698747	200.115	0.129488
18955417	0.337062	2.08516	2.23192	0.469272	209.148	0.11201
19006913	0.411277	3.56447	2.44596	0.560723	224.375	0.128876
19009077	0.280705	2.46027	2.68042	0.459267	138.571	0.146219
19028847	0.307882	4.01128	3.14606	0.992117	162.902	0.156329
19039617	0.45136	3.2685	2.20302	0.295026	346.507	0.140886
19063189	0.556023	6.85581	2.52083	4.57606	40.0532	0.136762
19138183	0.359389	3.92792	2.80746	4.065	71.3992	0.125609
19161250	0.510876	4.61676	2.30229	1.67201	127.221	0.115469
19181056	0.388111	2.48798	2.19154	0.398658	215.071	0.137492
19205790	0.484298	3.74028	2.20525	0.842384	223.96	0.110461
19338080	0.401339	2.89891	2.28134	1.66429	110.979	0.132486
19421745	0.458046	6.65732	2.95925	0.469924	207.851	0.126697
19439517	0.536272	3.83066	2.04763	0.444458	74.3484	0.125783
19510194	0.447334	3.35876	2.24276	0.420403	115.08	0.142604
19523335	0.332544	2.18323	2.29398	0.856969	233.925	0.113658
19545416	0.369944	3.92953	2.75186	1.08972	127.346	0.131387
19563260	0.331392	2.36105	2.37569	0.428514	127.13	0.134249
19594759	0.518393	3.81476	2.10342	0.442688	312.795	0.15219
19646135	0.425762	4.07818	2.526	0.460617	312.574	0.152018
19724918	0.654639	7.10268	2.15114	3.33313	316.24	0.137838
19771847	0.449127	2.91152	2.10984	0.32614	332.743	0.13014
19852265	0.420597	4.09152	2.55278	1.32626	262.479	0.135359
19858286	0.354337	2.29473	2.24983	0.671993	155.617	0.159638
19902934	0.453447	6.05451	2.85972	1.15731	201.024	0.134547
19929135	0.538005	5.21506	2.31487	0.506935	68.3206	0.14212
19984446	0.304258	2.3644	2.50738	0.330369	174.494	0.116935
20131727	0.436923	3.30634	2.26745	0.387335	231.849	0.149769
20147354	0.632781	6.6109	2.17182	0.81711	52.1636	0.135511
20203953	0.55662	4.34464	2.08353	0.677766	65.0663	0.134571
20442041	0.38481	3.74199	2.61965	1.2446	248.022	0.139654
20522042	0.688796	7.49372	2.06545	1.24443	244.714	0.125665
20669524	0.446183	3.28378	2.22627	0.437793	131.307	0.140865
20691335	0.414938	2.71314	2.1693	0.363145	275.873	0.11755
20767126	0.371698	2.77232	2.35935	0.423634	261.577	0.136714
20886000	0.29672	2.99834	2.82612	0.57964	244.169	0.1174
20967275	0.366664	3.24258	2.54582	0.568489	242.859	0.144897
21054958	0.552534	4.149	2.05921	1.11117	296.35	0.138378
21252455	0.630436	8.14996	2.37863	2.38123	354.817	0.136114
21282274	0.320061	2.584	2.52385	0.244291	165.943	0.139794
21289793	0.430497	2.93887	2.18361	0.754047	197.765	0.136755
21323161	0.484786	3.42854	2.12699	1.26082	260.258	0.131071
21460928	0.401934	3.63623	2.50817	1.76937	124.194	0.141837
21673831	0.314744	3.30394	2.84141	2.32003	201.273	0.137428
21865633	0.31893	2.59728	2.53511	0.598951	140.539	0.138094
21944441	0.379363	3.36583	2.52722	1.49817	184.346	0.127751
22101694	0.385065	2.98576	2.37666	1.48223	114.112	0.150622
22250732	0.468843	4.73634	2.49923	1.67835	137.873	0.129558
22409404	0.452982	2.83454	2.07444	0.65846	133.41	0.123512
22434042	0.494255	3.64286	2.1466	1.35029	132.994	0.123219
22490755	0.397591	4.29292	2.71749	1.73245	136.698	0.14976
22539254	0.495156	3.29587	2.05929	0.698147	137.493	0.145127
22954264	0.528665	4.49864	2.21159	2.25814	130.715	0.113134
22960992	0.484931	4.51774	2.38303	0.593464	254.564	0.137938
23017790	0.572723	4.82799	2.11713	0.794471	35.979	0.141954
23056803	0.421631	3.63914	2.42328	0.534839	82.2521	0.130715
23066604	0.278336	2.44003	2.68455	0.562262	140.825	0.137998
23211742	0.425851	3.2577	2.29619	1.22668	232.652	0.123757
23280862	0.398772	4.69778	2.82191	0.308766	21.1615	0.126271
23291226	0.381494	3.15002	2.44691	1.29191	268.389	0.119169
23367901	0.508162	4.47485	2.28286	1.64993	100.019	0.109238
23504761	0.361725	2.82476	2.42172	0.758152	188.023	0.125367
23583188	0.289762	2.71269	2.74398	0.776028	144.894	0.121557
23794591	0.338756	2.17228	2.26287	0.273631	90.2758	0.131873
23840189	0.277782	2.29448	2.61645	0.335148	106.346	0.129862
23889131	0.222421	2.09934	2.86698	0.966912	195.282	0.129696
23921244	0.389	2.45243	2.1754	0.623532	209.949	0.117647
23989625	0.528958	4.41245	2.19309	0.598036	124.399	0.136776
24251397	0.591855	4.53297	2.00157	0.790073	3.73761	0.12989
24259617	0.596659	5.43394	2.13393	1.23611	319.51	0.125368
24314196	0.467241	4.6368	2.48341	2.74206	148.643	0.135371
24322412	0.39874	2.57891	2.18382	0.444239	149.907	0.136996
24468655	0.457168	3.25678	2.17884	0.702526	100.682	0.123426
24486446	0.346574	2.44275	2.34219	1.17251	142.77	0.14561
24503812	0.233699	2.08259	2.77654	0.834104	177.233	0.125955
24864507	0.404727	3.41747	2.43038	0.597947	123.641	0.143584
24945546	0.420039	4.03659	2.54043	1.57112	186.374	0.120952
24999798	0.3171	3.94083	3.06059	0.450324	126.232	0.124673
25091062	0.381911	2.9172	2.36676	0.251673	95.2466	0.123148
25450121	0.439843	2.66475	2.06737	1.93093	285.526	0.148258
25471411	0.534352	4.6411	2.21917	1.66635	139.642	0.127336
25676062	0.398134	2.7407	2.24132	0.726066	240.274	0.136871
25702100	0.308147	2.69172	2.63131	1.16794	139.469	0.129371
26039474	0.401701	3.60572	2.50015	0.675188	117.637	0.134046
26109017	0.304259	2.50616	2.57121	0.220152	131.064	0.143311
26161226	0.391786	4.01028	2.6657	0.428667	87.5591	0.130008
26161482	0.476842	4.78642	2.47622	1.79834	81.2599	0.1146
26173500	0.405271	3.35271	2.4084	0.535375	198.346	0.144049
26187710	0.662588	8.2811	2.25773	2.29007	124.233	0.138196
26554427	0.422816	3.81892	2.4685	1.14875	232.808	0.124532
26578901	0.662584	6.5695	2.05567	2.20404	129.461	0.126364
26751912	0.398921	2.64346	2.20531	0.914618	114.659	0.148406
26905555	0.470372	4.18024	2.36372	0.633695	104.142	0.130225
26976544	0.348044	2.67671	2.42783	0.477953	188.848	0.154718
27217201	0.399775	2.53273	2.16402	0.458362	130.234	0.150163
27296519	0.365098	2.72173	2.36926	1.83517	115.067	0.131505
27441591	0.571795	8.4712	2.68779	2.80042	87.4476	0.113213
27548546	0.456439	3.87187	2.34334	0.320223	61.4422	0.143041
27758025	0.430309	3.33373	2.30085	0.443492	129.542	0.144301
27880160	0.340078	3.59115	2.8016	0.289732	199.023	0.137655
28126065	0.322248	3.43218	2.84586	0.908893	196.736	0.116996
28126354	0.483822	5.33891	2.56443	3.24255	300.124	0.122127
28186876	0.419506	5.20136	2.84214	1.42425	236.283	0.13623
28279648	0.302314	3.71196	3.07357	1.16647	185.361	0.146919
28304308	0.184615	2.14569	3.21825	2.22358	217.877	0.11117
28370571	0.6304	7.03644	2.23736	2.05288	132.169	0.162856
28576373	0.316092	2.12739	2.34163	0.373881	177.278	0.133696
28767249	0.518384	6.66315	2.65911	3.35305	140.536	0.120518
29061362	0.522768	6.95889	2.68943	0.53801	98.6821	0.117067
29072271	0.626165	6.29589	2.15386	1.25715	79.484	0.134025
29391525	0.377802	3.2572	2.49892	1.56161	108.482	0.129642
29467184	0.439388	4.763	2.63769	0.585474	149.995	0.14538
29573995	0.547644	5.12663	2.26162	0.849498	97.0263	0.143068
29629187	0.389219	2.34268	2.13462	0.3941	197.505	0.115761
29647808	0.270888	2.32859	2.67356	0.404944	183.915	0.126581
29911268	0.43514	2.95377	2.17132	0.406699	77.1724	0.14433
30145832	0.500608	3.30948	2.04494	0.678963	252.81	0.139581
30210170	0.497737	3.29657	2.05107	0.423129	217.672	0.148621
30245817	0.519306	6.9372	2.70217	1.32363	272.568	0.126401
30248390	0.409595	4.06783	2.59689	2.85224	84.1815	0.147739
30311778	0.261547	2.32702	2.72955	1.26143	147.572	0.147413
30324584	0.505006	3.48571	2.0729	0.823584	224.901	0.161172
30365086	0.574581	6.64445	2.40829	1.16681	141.479	0.122745
30664485	0.42069	2.99112	2.2359	0.259856	338.599	0.11506
30687017	0.411111	2.26118	2.02961	0.535603	226.398	0.127753
30699235	0.523852	3.90351	2.10437	0.646158	37.6188	0.129948
30779365	0.489386	3.10949	2.03094	1.7422	271.042	0.135295
30781709	0.477471	5.93693	2.71616	1.59963	253.206	0.137279
30821706	0.553739	6.28473	2.43828	0.795198	288.647	0.144626
30886619	0.467121	2.98539	2.07026	1.73149	247.111	0.130494
31125121	0.32487	4.14261	3.08047	1.91569	213.251	0.136092
31330896	0.322316	3.54445	2.88664	1.61522	187.856	0.150571
31389031	0.749635	9.50963	2.01404	7.72762	92.0115	0.121293
31410514	0.300058	3.08131	2.84044	0.51101	119.009	0.137286
31507332	0.20712	2.27704	3.09792	0.365185	181.917	0.143356
31521947	0.271209	3.04873	3.01212	0.260522	213.075	0.139346
31551687	0.48467	3.79744	2.21766	0.530168	230.646	0.118231
31703580	0.544818	4.42504	2.13947	1.55001	124.029	0.124504
31820081	0.455428	3.79194	2.3269	0.451748	133.812	0.136993
31954002	0.367301	2.49324	2.27489	0.548034	257.06	0.134175
31975976	0.750637	10.7549	2.11024	4.46841	306.042	0.137631
32058141	0.429282	3.44208	2.33591	0.625698	158.942	0.14515
32195092	0.497631	7.0743	2.83231	0.777192	104.852	0.127752
32314104	0.409531	2.7277	2.1939	1.25305	129.95	0.118541
32331403	0.353333	3.90988	2.83481	0.594498	128.679	0.12894
32340326	0.2664	2.82482	2.94265	1.38016	135.038	0.136871
32447981	0.589466	4.71991	2.04145	1.10214	322.428	0.142017
32480760	0.30391	2.86846	2.72954	0.67758	198.631	0.164265
32505197	0.560712	7.1347	2.54362	3.14028	247.601	0.140912
32587813	0.357845	2.58035	2.34751	1.0612	232.978	0.121259
32605716	0.509628	5.1965	2.42497	0.798439	294.383	0.130324
32653974	0.401193	2.83387	2.26055	1.01584	242.763	0.13371
32761478	0.410065	2.6191	2.15599	0.408359	136.727	0.135021
32814844	0.355646	3.24717	2.60068	0.614906	173.547	0.125104
32888084	0.484079	4.48929	2.38011	0.45583	44.2935	0.149646
32909416	0.661143	7.66931	2.19342	2.50283	254.723	0.150535
32987089	0.427831	4.23834	2.55902	0.65318	143.548	0.128478
33041932	0.324213	3.09864	2.70908	0.584593	157.561	0.144077
33150441	0.503858	3.67202	2.1204	0.476861	5.64916	0.122678
33206407	0.361054	2.70568	2.38086	0.236646	63.3676	0.12864
33274140	0.391795	2.4841	2.17636	0.400289	260.244	0.124726
33294703	0.425728	2.816	2.16307	0.371857	85.6663	0.144727
33413260	0.493049	3.33881	2.07685	0.624914	195.769	0.123356
33459087	0.23685	2.02883	2.72349	0.418318	200.136	0.150507
33572503	0.452784	3.56374	2.27757	3.26749	75.6776	0.146705
33648228	0.346494	2.39081	2.32153	0.355347	126.318	0.133169
33666535	0.502881	3.24183	2.02114	0.99233	253.688	0.136022
33707463	0.525982	5.67635	2.44865	0.485678	59.4113	0.13041
33847415	0.45427	3.39615	2.22716	0.544865	138.178	0.143358
33875742	0.36831	2.67921	2.33997	0.571134	201.292	0.122264
33891997	0.489507	4.03367	2.25542	0.712307	190.877	0.142554
33896185	0.36225	2.50023	2.29827	0.411362	149.596	0.150588
