eventfile for the exclsuive pi0 BSA analysis cross check
contact: Stefan Diehl (sdiehl@jlab.org)
---------------------------------------------------------------------------------------------------------------------
eventnumber	x	Q2	W	-t	phi[deg]	Mgg
4842780	0.411244	2.41851	2.08393	0.700705	88.5512	0.144368
4901193	0.255862	3.4099	3.28596	1.47611	177.673	0.121228
5107610	0.261121	2.14064	2.63392	1.59005	142.481	0.134668
5485744	0.308491	2.49806	2.54557	1.04908	107.066	0.113454
5609744	0.421242	2.42299	2.05167	0.373944	42.8591	0.114077
5731899	0.410781	2.37515	2.07056	0.94068	248.21	0.119481
5845496	0.289492	2.35916	2.58273	2.40245	89.3926	0.129853
6124728	0.407564	2.80016	2.22501	0.584709	267.556	0.139853
6394933	0.446952	4.60439	2.5647	2.12561	108.112	0.118032
6398294	0.265062	2.20385	2.64404	1.67061	127.501	0.137899
6404217	0.421607	3.8227	2.4748	0.534235	293.775	0.134686
6452597	0.423809	5.99826	3.00587	0.763463	113.909	0.130449
6485507	0.307282	3.59803	2.99858	1.12345	216.576	0.127755
7315944	0.378485	3.71794	2.64303	0.578775	234.369	0.104336
8013400	0.426312	5.09897	2.78245	0.602897	59.4435	0.133605
8068665	0.350913	3.19734	2.60662	0.93703	205.842	0.117112
8327714	0.456072	3.30624	2.19624	0.697058	109.474	0.126102
8493893	0.455138	2.66469	2.0175	0.835564	243.933	0.132933
8518974	0.4186	3.866	2.49997	1.92119	279.578	0.112018
8520789	0.273985	2.60698	2.79077	0.76335	141.184	0.129301
8856981	0.464201	3.49705	2.21738	3.42012	44.2258	0.136946
9065575	0.407785	2.68153	2.1851	1.24185	126.625	0.137206
9089503	0.489266	4.40891	2.34152	0.558513	74.7005	0.151114
9679564	0.629948	6.97291	2.23079	2.41325	107.919	0.128741
9809540	0.350982	2.80484	2.46311	1.02618	214.683	0.129533
9933448	0.274384	2.7188	2.84082	0.397274	199.593	0.149
10023549	0.294821	3.2068	2.92415	1.34521	165.578	0.130879
10036085	0.643726	6.85849	2.16245	1.20274	31.5761	0.132534
10045818	0.513144	6.37809	2.63281	0.69873	46.7933	0.126228
10126544	0.614563	5.44204	2.07206	1.53692	30.5617	0.131313
10404925	0.370677	3.02448	2.45259	1.13172	225.081	0.120978
10461364	0.378368	3.62054	2.61316	0.987782	146.175	0.126901
10523157	0.381351	4.29209	2.80057	0.785546	153.699	0.119492
10688974	0.476306	2.91385	2.02091	0.611343	286.749	0.133526
10726969	0.506068	3.73203	2.1267	2.01003	256.593	0.135075
10853248	0.348801	2.20217	2.23421	0.435072	91.041	0.138268
11323314	0.442652	3.33897	2.25488	2.00433	81.5604	0.124661
11467879	0.257474	2.41682	2.80181	1.53726	128.833	0.152805
11946277	0.309642	3.03681	2.76604	0.967727	124.938	0.133559
12150182	0.362189	2.38953	2.25572	0.856011	252.056	0.127319
12157603	0.261671	2.72637	2.92797	1.42939	136.794	0.139572
12223412	0.456204	4.88633	2.58937	1.27975	246.316	0.120184
12269669	0.501385	4.18067	2.24453	0.822377	236.004	0.123131
12345361	0.47416	4.40955	2.40218	0.665734	282.232	0.145471
12394127	0.625816	5.96948	2.1094	1.76515	35.5592	0.145245
13544634	0.523223	4.11895	2.15259	0.553046	346.687	0.111352
13582362	0.506147	4.65558	2.3287	0.718274	241.684	0.126233
13899877	0.392178	2.44919	2.16246	0.687619	114.767	0.137841
14073688	0.460171	2.9909	2.09499	0.527368	338.047	0.127367
14141958	0.476847	3.90638	2.2729	1.93	123.7	0.138015
14290338	0.434286	3.40173	2.30468	2.03612	234.158	0.132032
14372626	0.667811	6.45262	2.02239	1.46325	84.6972	0.125656
14430563	0.261709	2.37575	2.75362	1.31716	231.179	0.139093
14653027	0.367124	3.19961	2.52905	0.891826	165.238	0.13665
14699303	0.326566	2.19672	2.32601	0.77556	231.124	0.123141
14918183	0.551402	4.51569	2.13404	1.09902	106.616	0.141309
15230250	0.558341	5.37465	2.26535	0.792747	298.231	0.106564
15242221	0.317902	2.54781	2.51932	0.908491	243.895	0.136178
15389648	0.334804	2.95499	2.59834	0.882715	113.479	0.1379
15435507	0.277291	3.74721	3.26294	1.93503	144.511	0.117322
15694764	0.443875	5.70814	2.83407	0.622072	126.417	0.149581
15748911	0.4001	2.51988	2.15838	1.87912	91.1082	0.140724
15879607	0.383944	2.38504	2.16962	0.417895	81.1685	0.144233
15988318	0.230051	2.09772	2.81089	0.387885	140.525	0.141336
16259490	0.271292	2.03255	2.51791	0.949549	215.435	0.133051
16441951	0.492534	3.52265	2.12363	0.43934	295.725	0.111053
16476174	0.536036	5.75069	2.42029	0.932676	240.525	0.129264
16489141	0.330203	2.60936	2.4846	0.780806	199.73	0.147166
16557683	0.329903	3.53919	2.84061	2.62093	131.734	0.14734
16573832	0.34802	2.08641	2.18838	1.12205	109.419	0.137671
16582601	0.254767	2.16166	2.68393	2.11073	227.85	0.122751
16722164	0.372902	3.24467	2.5173	3.125	108.422	0.112584
16843483	0.501845	3.60205	2.1109	1.0988	258.845	0.131431
16866564	0.476664	3.86138	2.2627	0.522838	69.0569	0.143329
17017118	0.348379	2.41313	2.32249	0.645916	243.072	0.134503
17048557	0.4873	4.62287	2.3967	1.35929	119.633	0.126037
17077357	0.19638	2.58963	3.38785	2.11952	242.599	0.14918
17183566	0.331762	2.49918	2.43191	1.11523	219.109	0.134776
17351165	0.464271	6.51409	2.89776	0.840034	88.9166	0.11034
17849092	0.520027	4.10306	2.16041	0.724302	44.5505	0.104819
17850483	0.400594	2.45438	2.13373	0.54842	117.77	0.127012
17884125	0.400714	3.2739	2.40346	2.08502	129.682	0.127321
17957112	0.412215	4.23294	2.62986	2.70341	122.902	0.156832
18034918	0.341398	3.86942	2.88876	1.31774	158.041	0.125689
18557863	0.396219	2.6059	2.20258	1.80073	280.823	0.133173
18835265	0.625349	5.23565	2.00426	1.47302	301.146	0.153558
18901012	0.441124	2.86817	2.12465	1.15587	100.486	0.11947
18977382	0.348384	2.61702	2.40317	1.27264	125.358	0.11606
19027503	0.402418	2.26255	2.05917	0.634533	110.578	0.130765
19249960	0.420198	2.60613	2.11574	1.2524	114.794	0.119086
19432518	0.36157	3.16363	2.54291	0.361128	283.494	0.132853
19530107	0.598558	7.02669	2.36495	1.9684	294.024	0.108579
19741937	0.453648	2.65256	2.01865	0.749749	100.688	0.155359
19871892	0.423515	3.80737	2.46229	1.97733	85.3519	0.113208
19893287	0.45025	4.00694	2.40266	0.638684	92.0145	0.115276
19923401	0.312512	2.7959	2.6516	1.41604	141.303	0.137557
20366773	0.252893	3.02944	3.13529	0.277914	143.621	0.138684
20478972	0.413877	3.54051	2.42782	0.642705	254.537	0.133412
20711136	0.344488	3.76619	2.8367	4.59079	259.336	0.1173
20758685	0.495798	4.78859	2.39793	1.93383	80.2593	0.129558
20801478	0.290627	2.5942	2.68558	1.91008	156.277	0.124912
20856250	0.589724	5.04204	2.09478	2.16854	238.345	0.129166
20911933	0.49716	3.33422	2.0622	0.75952	94.3458	0.132108
20981808	0.215233	2.01339	2.86729	1.81175	168.303	0.131946
21007110	0.283279	2.92622	2.87818	1.84326	156.76	0.133636
21181277	0.549866	3.89535	2.01722	0.833491	306.345	0.155038
21361806	0.500583	3.43992	2.07659	1.11205	271.989	0.122873
21391271	0.445611	4.95225	2.65358	0.987196	125.579	0.144832
21438976	0.248622	2.16639	2.72535	0.520795	179.548	0.124642
21459701	0.431265	2.63587	2.08721	0.88049	93.7798	0.120459
21569658	0.35107	3.92753	2.85309	1.73946	116.667	0.144837
21688238	0.46294	3.53624	2.23221	0.639387	108.592	0.138113
21713748	0.415042	2.25148	2.01335	0.570153	117.916	0.137449
21761757	0.455006	3.3962	2.22446	1.00766	270.442	0.133487
21985192	0.527362	3.5798	2.02205	1.07176	271.649	0.135302
22061710	0.445303	4.15065	2.4598	2.45934	84.9538	0.13499
22128898	0.613064	5.66473	2.11084	1.01474	5.54564	0.140866
22248654	0.478429	4.83861	2.48098	0.8202	52.6033	0.136671
22507014	0.369215	3.84882	2.73054	0.880212	102.182	0.155628
22834995	0.359673	2.11148	2.15393	0.585717	111.209	0.133534
22857618	0.319843	2.68834	2.56849	0.389312	94.1138	0.144574
23068782	0.333741	2.20371	2.29776	0.52229	105.146	0.12762
23567512	0.315946	2.61291	2.55686	0.89965	229.088	0.132963
23583649	0.602175	5.22824	2.08191	2.03604	77.3668	0.139428
23625814	0.3588	2.0522	2.13255	0.851297	254.269	0.151095
23648386	0.255024	2.36127	2.78892	1.55506	195.337	0.125281
23691921	0.28055	2.62445	2.75872	0.606778	210.268	0.13141
23710583	0.504623	6.1064	2.62199	0.775267	111.368	0.131216
23949162	0.370293	2.87631	2.40243	0.356025	62.5884	0.140237
24072267	0.319576	2.36293	2.43133	0.802071	154.976	0.115892
24133144	0.38694	3.13018	2.41655	0.719763	207.044	0.116126
24138672	0.266959	2.07996	2.56743	1.3486	122.943	0.126841
24213147	0.483798	3.46506	2.1395	0.576942	63.4431	0.121085
24280753	0.544233	5.02499	2.25577	1.54886	87.0305	0.149765
24364604	0.65558	6.33594	2.05159	4.06607	292.823	0.142896
24370325	0.470623	3.14542	2.10201	1.44832	275.573	0.128757
25143837	0.693722	7.29692	2.02532	2.29304	61.4719	0.106776
25214204	0.464039	5.80753	2.75463	1.09698	197.881	0.137378
25365089	0.51619	3.97363	2.14586	0.876011	253.818	0.1462
25365151	0.61382	7.27187	2.33567	0.933924	357.359	0.13107
25491573	0.445407	3.4256	2.26841	3.21568	65.4509	0.142569
25724219	0.332598	2.78326	2.54269	2.56998	238.995	0.130579
25725247	0.506889	6.51809	2.68724	1.27286	95.5286	0.118406
25888986	0.418182	4.07565	2.55945	0.503674	254.098	0.116222
25986383	0.717749	8.48805	2.05383	1.53835	67.1723	0.14374
26421942	0.594708	6.38465	2.28724	2.8736	279.931	0.156877
26546754	0.430231	3.08969	2.22982	1.04204	260.346	0.130125
26688067	0.332673	3.21015	2.7055	2.44078	102.259	0.131819
26875000	0.3357	3.03235	2.62315	0.691849	193.229	0.125321
26958105	0.346776	2.3123	2.28824	0.669871	229.406	0.12375
27219615	0.279922	2.67028	2.78378	1.14695	146.899	0.143152
27424059	0.399366	2.17208	2.03644	0.427868	101.063	0.103637
27438732	0.557122	6.06533	2.38786	1.85004	319.816	0.133038
27575619	0.221538	2.66806	3.20243	1.82949	134.621	0.139163
27712826	0.522437	5.9045	2.50553	0.464772	18.0941	0.12184
27908749	0.569647	4.7499	2.11394	0.89022	29.658	0.141745
27951058	0.387873	3.19066	2.43223	2.00578	105.622	0.125927
28105700	0.346418	3.41376	2.70574	0.441127	124.433	0.130309
28182149	0.295193	2.3114	2.52963	0.837799	206.136	0.132495
28328104	0.261621	2.00154	2.55525	0.648882	189.185	0.127223
28565470	0.45645	3.32324	2.19948	0.916172	233.679	0.121098
28626477	0.381486	2.19603	2.10733	0.906897	242.606	0.145548
28630209	0.612836	5.29435	2.0555	1.33849	298.226	0.124423
28686093	0.383122	2.79325	2.31902	0.711813	114.307	0.137086
28708346	0.303033	3.11815	2.8376	1.02685	159.969	0.130111
28744834	0.280245	4.12891	3.38889	1.32	203.322	0.135172
29296069	0.417049	4.28569	2.62123	0.386761	301.245	0.159123
29341914	0.222065	2.00465	2.81122	1.7778	198.392	0.128046
29590917	0.585182	7.10908	2.43305	0.859454	315.401	0.143623
29646082	0.341666	2.21584	2.26934	1.27596	245.645	0.116068
29748305	0.412507	3.76211	2.49766	0.438451	107.028	0.128768
30128449	0.351244	3.70942	2.7806	0.568781	130.775	0.131644
30209863	0.430784	3.88404	2.45204	2.18983	133.027	0.137549
30223553	0.327967	3.69916	2.90865	1.06641	139.813	0.13136
30260634	0.271433	2.08705	2.54604	0.465526	128.998	0.146785
30308822	0.236241	2.41899	2.94972	1.69236	250.199	0.126319
30317827	0.516066	3.53835	2.04899	1.20649	272.256	0.123991
30374666	0.424005	2.57665	2.09299	1.00828	118.657	0.12947
30426588	0.406863	2.74634	2.20998	1.62818	106.121	0.127829
30516858	0.344181	3.05842	2.58998	1.83926	208.249	0.116251
30558868	0.286025	3.23268	2.99161	0.438507	116.341	0.142184
30604981	0.381093	3.43557	2.54161	2.64053	121.411	0.147895
30608590	0.245739	2.37512	2.85839	0.908155	164.75	0.128716
30611421	0.235819	2.21394	2.83808	0.513862	207.031	0.114964
30646914	0.314401	2.26952	2.41441	0.997973	252.498	0.121149
30776850	0.333998	3.58508	2.83357	1.31743	227.717	0.12805
30812708	0.427605	2.81613	2.15639	0.981817	122.851	0.125388
30856167	0.408785	2.60857	2.15709	0.718304	115.353	0.130144
30859272	0.317132	3.36736	2.85152	0.870588	134.899	0.112002
31004188	0.268125	2.04613	2.54273	0.58839	113.534	0.137194
31014167	0.537169	4.09687	2.10006	0.718243	64.8105	0.12005
31048912	0.341119	3.09687	2.61955	0.760956	162.052	0.158097
31139957	0.433036	2.98734	2.18897	0.709156	253.8	0.126367
31190704	0.459224	3.78712	2.31084	0.793196	111.762	0.136583
31522732	0.360532	2.54102	2.32105	0.555676	227.111	0.13893
31869770	0.269217	2.08978	2.55988	0.714336	162.729	0.122163
31876260	0.40984	2.65325	2.16817	1.38613	102.544	0.129568
31890390	0.35398	3.64098	2.74321	2.26352	252.814	0.14536
32126101	0.319372	3.13945	2.75153	0.558927	133.168	0.124828
32328661	0.66837	6.95984	2.08174	1.17799	59.0369	0.149511
32496680	0.558293	7.75687	2.64903	1.65928	80.3775	0.143226
32513458	0.389107	3.80095	2.61683	0.698866	226.245	0.128387
32745732	0.402577	4.60615	2.77774	2.18617	286.269	0.145802
32869116	0.476275	4.1646	2.33663	1.42088	88.7556	0.136701
32936754	0.515579	3.4404	2.02801	0.617234	60.6502	0.120065
33382379	0.495725	3.60008	2.13131	2.07204	109.601	0.136044
33488473	0.453712	3.15738	2.16378	0.595745	81.8634	0.10595
33664837	0.599456	5.22899	2.09147	1.09422	288.479	0.137657
33808980	0.330962	2.83376	2.57075	1.51896	153.344	0.137704
33842129	0.418522	3.23001	2.31689	0.754015	93.6867	0.132515
33896934	0.330736	2.9895	2.63245	1.94919	116.709	0.111777
34079169	0.361665	3.90869	2.78911	0.417482	277.558	0.116413
34446687	0.267545	2.68419	2.86859	0.996871	248.119	0.136662
34523806	0.708809	8.3933	2.08049	5.85243	235.898	0.125129
34700442	0.364514	3.25094	2.5589	0.400213	277.212	0.139421
34867823	0.644567	5.72407	2.00917	1.36171	64.015	0.12986
35099582	0.32713	2.29744	2.36768	0.350223	94.558	0.12999
35158976	0.366942	2.61256	2.32112	2.40468	282.431	0.13474
35187600	0.316359	2.02065	2.29061	0.997033	251.479	0.136876
35261468	0.204057	2.43483	3.22143	0.348279	162.108	0.133722
35314536	0.442623	5.29527	2.74744	4.48005	251.827	0.140368
35324093	0.336105	3.06501	2.63335	1.39986	153.867	0.124624
35387110	0.46599	3.80146	2.28838	0.413685	301.538	0.140261
35475803	0.385584	2.59204	2.23845	0.566735	100.666	0.110099
35640015	0.476433	4.6074	2.43794	2.79131	89.0552	0.121218
35714497	0.22586	2.10489	2.84515	1.91165	159.622	0.137502
35780460	0.497173	4.17272	2.25843	3.23545	74.6756	0.12111
35783402	0.320733	2.10581	2.31088	0.611273	125.254	0.129949
36464508	0.415868	3.92957	2.52979	2.59028	232.769	0.103784
36533395	0.245678	3.35121	3.34212	1.51496	149.41	0.119814
36746451	0.431653	4.78522	2.67972	0.476385	47.6847	0.122573
36786500	0.324083	3.23933	2.7634	2.93216	111.346	0.133568
37034853	0.648874	7.3046	2.19843	1.5258	345.35	0.139817
37407289	0.427975	5.45859	2.8594	4.44812	71.3696	0.138204
37608110	0.327365	4.35751	3.13587	0.767376	160.743	0.133808
37772306	0.502565	4.45444	2.29985	2.01693	131.515	0.154118
37817454	0.328762	2.13124	2.28729	1.03216	114.56	0.131574
37886712	0.490875	5.07361	2.47842	2.17397	224.667	0.128973
37930236	0.320582	2.96105	2.67503	0.781466	178.909	0.134023
38033722	0.38743	2.30682	2.12783	1.38046	260.485	0.134269
38426351	0.521467	4.68605	2.27609	1.40361	103.546	0.121217
38677341	0.447172	3.12917	2.17919	0.440648	86.0061	0.12356
38719196	0.268737	2.5267	2.78492	0.329013	120.234	0.126595
38759319	0.556205	5.46213	2.28879	1.72432	307.634	0.124749
38920088	0.670033	7.89113	2.18321	2.15829	274.544	0.138329
38956859	0.267428	2.16917	2.61197	0.947844	144.21	0.145091
39036179	0.512624	4.27629	2.22396	0.551979	325.261	0.127181
39073525	0.454453	3.33771	2.21068	1.12971	123.956	0.121042
39126300	0.392717	4.01242	2.66176	1.39671	214.476	0.142228
39147832	0.5634	5.01663	2.18356	1.39415	302.071	0.124378
39190812	0.447665	5.60048	2.79111	0.54066	286.136	0.120172
39326144	0.381957	3.17755	2.45396	1.17332	212.244	0.159108
39481253	0.404857	2.63711	2.18103	0.650747	95.5326	0.132773
39713068	0.346085	2.59082	2.40325	0.445383	100.52	0.143235
39805718	0.515737	3.60699	2.06572	1.21764	90.1297	0.144226
39851684	0.370388	3.86851	2.73062	0.74677	191.93	0.14139
39882196	0.476141	4.3989	2.39167	0.564378	69.0248	0.132224
39991757	0.337587	3.26431	2.69918	0.555917	182.254	0.128936
40015782	0.395835	2.93429	2.31494	1.23444	225.548	0.129035
40208673	0.557469	4.18911	2.05079	0.792324	6.43421	0.152629
40373729	0.34009	2.19835	2.26848	1.36699	241.8	0.153182
40527881	0.444301	2.94674	2.1368	0.678869	117.168	0.112727
40787194	0.323258	2.09874	2.29653	2.08824	90.2526	0.135386
40890297	0.347037	2.99903	2.55404	0.769541	186.635	0.14446
41041163	0.579718	5.36775	2.18445	3.61384	111.057	0.148841
41052006	0.295899	4.00059	3.22488	0.483667	100.952	0.146487
41130768	0.506345	4.0338	2.19387	1.63752	91.2911	0.128404
41281358	0.340399	2.7176	2.47918	2.13688	260.962	0.133643
41326399	0.41815	3.16614	2.29913	0.608674	105.885	0.123539
41395627	0.366366	3.17861	2.52542	0.626127	254.545	0.126279
41553461	0.261246	2.08563	2.60348	0.513834	219.289	0.115758
41627461	0.591849	4.63111	2.01842	1.22924	95.2544	0.130852
41819212	0.404639	3.03404	2.3118	0.31988	268.356	0.139046
41840160	0.562043	5.99366	2.356	0.909405	25.4973	0.134301
41851224	0.35412	2.66068	2.3944	0.744255	254.543	0.104477
41926216	0.336721	3.31093	2.72071	0.624005	160.567	0.143381
42060447	0.334643	3.2064	2.6936	0.851063	209.373	0.117396
42165842	0.355071	4.91937	3.13298	0.626335	196.092	0.123942
42913011	0.575751	4.91172	2.12122	1.47626	109.239	0.121895
43029350	0.487278	3.27206	2.07924	1.36456	260.964	0.129062
43032887	0.368024	2.62486	2.32116	0.736711	104.985	0.147564
43131292	0.515277	4.02614	2.16049	3.15589	299.809	0.123418
43132148	0.34542	2.15685	2.22882	0.732923	132.047	0.130142
43394738	0.521658	4.01139	2.1351	1.09368	253.122	0.142253
43501246	0.63534	5.74909	2.04452	2.83736	123.776	0.136822
43584537	0.432358	2.77086	2.1256	1.09733	118.537	0.11702
43638318	0.461961	5.17845	2.62899	2.51216	112.176	0.154597
43831876	0.69155	7.32694	2.03675	2.22032	276.588	0.128866
43877214	0.394263	2.29697	2.09984	0.488368	81.1202	0.146904
43912388	0.538212	4.33459	2.14463	0.958373	260.487	0.123903
44039538	0.349116	2.70964	2.43559	0.580437	130.252	0.117999
44168348	0.240184	2.00549	2.68788	1.47129	249.407	0.129288
44382081	0.326787	2.82182	2.58719	1.60481	117.277	0.130581
44455162	0.450323	4.81321	2.59913	0.776204	285.535	0.131434
44809344	0.46507	4.74478	2.51751	0.761812	127.835	0.137987
44920368	0.446225	3.23933	2.21369	0.344503	332.859	0.14488
45031189	0.418846	2.85741	2.20114	1.31785	103.869	0.144811
45078595	0.249314	2.38684	2.84027	0.626458	153.652	0.144374
45081406	0.429092	2.71336	2.11907	0.773009	111.645	0.118909
45129198	0.553321	7.69386	2.66296	2.09622	126.557	0.144011
45201287	0.408692	2.24153	2.03063	0.704761	260.358	0.136055
45222375	0.345431	2.47319	2.35942	0.966907	171.17	0.118867
45379541	0.626334	7.56694	2.32265	2.92742	126.151	0.118358
45486549	0.457983	4.27244	2.43653	0.767878	112.05	0.129351
45582468	0.551414	6.10217	2.41755	1.22686	89.5166	0.143389
45684451	0.232926	2.16682	2.83128	1.7275	239.255	0.142924
45715177	0.327511	2.70441	2.53641	0.411177	111.213	0.143931
45937614	0.480413	5.97875	2.71046	0.943733	83.1892	0.140906
46075942	0.343296	2.11008	2.21739	0.801663	128.776	0.139625
46226023	0.288376	3.29973	3.00384	1.16115	246.253	0.128087
46279694	0.341048	3.1647	2.6448	2.57265	204.509	0.116958
46367781	0.537578	4.0298	2.08489	0.511141	55.0874	0.14378
46496517	0.356079	4.41664	2.97779	0.6058	227.798	0.134564
46573512	0.239776	2.46451	2.94859	0.568636	174.767	0.118408
46954494	0.536997	3.98031	2.07658	0.738913	303.816	0.108176
47099651	0.355803	2.04165	2.13936	0.499277	238.928	0.130322
47103024	0.292301	2.86563	2.79614	1.01554	230.118	0.147978
47291404	0.297635	4.16419	3.27216	0.752467	220.27	0.128377
47296499	0.335563	3.24472	2.70279	4.33855	300.717	0.14529
47396627	0.49062	4.86432	2.43529	2.29799	92.8611	0.155294
47424142	0.453613	3.47945	2.25198	1.08673	240.417	0.146299
47426789	0.233452	2.17413	2.83182	1.01436	171.109	0.121068
47448252	0.280602	2.40131	2.65269	1.93992	147.086	0.12653
47951275	0.282856	2.44145	2.659	0.499186	154.53	0.110487
47974290	0.406742	3.9602	2.58003	0.506788	63.4412	0.13002
48446560	0.355634	2.20945	2.20989	1.26449	121.526	0.122276
48803089	0.329662	3.14303	2.69655	1.50863	173.243	0.158525
48809948	0.524775	3.45854	2.00308	0.987702	76.268	0.143045
48924751	0.427834	2.55068	2.0716	0.759804	238.549	0.128821
49260148	0.608483	5.08727	2.03805	1.46647	20.6551	0.135572
49377829	0.515378	5.10417	2.38326	3.74959	90.0798	0.145256
49388697	0.5305	3.92007	2.08558	1.10456	252.892	0.115211
49540457	0.354433	2.59268	2.36699	0.476156	266.423	0.132519
49551592	0.424175	3.91992	2.49032	0.85126	263.199	0.13372
49638309	0.446616	3.70166	2.33814	1.06832	246.44	0.14256
49667697	0.331834	2.16675	2.2898	1.11931	238.94	0.145322
49696587	0.507366	4.8224	2.35854	0.720549	73.6144	0.115638
49991772	0.342198	2.31232	2.30766	0.57205	94.6613	0.150967
50096493	0.46234	3.73516	2.2856	0.797045	92.8094	0.135812
50503834	0.240287	2.3148	2.86339	0.934121	167.425	0.146749
50544004	0.364465	2.83186	2.41213	2.03777	80.3397	0.114677
50551410	0.386656	2.33277	2.14027	0.50692	75.549	0.135553
50710638	0.40044	4.56888	2.77869	1.98232	244.532	0.123089
50747538	0.493387	6.03017	2.65935	0.792209	99.7422	0.131247
50751442	0.607924	7.08875	2.33499	3.97504	316.957	0.125297
50982952	0.302009	3.10139	2.83692	2.33423	203.062	0.12054
51019702	0.235202	2.28647	2.8836	0.378825	196.897	0.144
51025867	0.56042	6.59645	2.46057	1.55646	271.946	0.13566
51057343	0.549203	5.22274	2.27316	1.24178	69.4044	0.134168
51135149	0.247925	2.72189	3.02277	0.707671	197.559	0.135281
51437373	0.339939	3.34291	2.71501	0.407607	76.637	0.132576
51584589	0.285888	2.01921	2.43394	0.525808	194.58	0.12635
51645009	0.514365	4.25183	2.21239	1.37837	235.763	0.134759
51649722	0.397984	4.22184	2.69566	0.745491	196.989	0.146431
51716967	0.281579	2.7515	2.81079	0.926627	234.404	0.131352
51991103	0.331703	2.26516	2.33325	1.625	123.929	0.136309
52041923	0.249427	2.42697	2.86069	1.11649	190.301	0.126622
52301302	0.365521	4.85201	3.05001	0.512967	121.304	0.135059
52332994	0.548003	4.66176	2.17379	2.61068	286.226	0.14131
52408751	0.403131	3.35265	2.41748	0.765507	76.6401	0.132254
52449837	0.261651	3.26071	3.17517	1.69201	136.082	0.135571
52473686	0.527006	4.11269	2.13811	1.65986	237.63	0.13673
52586779	0.310751	2.56839	2.56457	0.898273	195.345	0.115489
52720882	0.695394	7.39874	2.03008	4.11417	220.821	0.134717
53026069	0.42878	2.62523	2.09229	0.487271	295.056	0.120646
53227706	0.643622	7.51182	2.24492	3.6053	136.519	0.128403
53416019	0.343127	2.76477	2.48458	2.11711	246.761	0.146424
53710931	0.500007	3.56455	2.10827	1.25712	257.377	0.120924
53926041	0.467855	4.48974	2.44684	0.865306	232.653	0.135583
54037331	0.471515	6.34016	2.82604	0.983554	77.8931	0.141184
54087550	0.538886	4.0114	2.07673	0.781936	313.812	0.135394
54097252	0.298139	2.44323	2.57528	1.40622	194.17	0.14561
54291177	0.335266	2.44415	2.39298	0.767864	257.277	0.132235
54446888	0.56249	4.42845	2.07962	0.630219	327.201	0.12263
54463589	0.421025	2.61066	2.11433	1.05115	262.8	0.13861
54464455	0.313216	2.58253	2.55793	0.796801	106.174	0.143273
54689716	0.388713	3.23192	2.44189	0.908101	131.03	0.121284
54897941	0.359672	2.24457	2.20825	0.774782	125.445	0.129217
54999999	0.260791	2.73274	2.93705	0.74724	154.226	0.125297
55263588	0.295926	2.81233	2.75164	1.90549	160.489	0.119611
55306036	0.412642	3.30153	2.36215	1.05223	128.316	0.113706
55514264	0.505234	5.41242	2.48608	1.24763	139.229	0.139277
56059844	0.311254	4.2742	3.21533	1.61395	238.35	0.125916
56108652	0.395534	3.16088	2.38974	2.4613	264.826	0.128201
56231536	0.51039	4.38953	2.25636	1.95829	231.079	0.142857
